country name,postcode,
UK,WN1,"""WN1"","
UK,WN2,"""WN2"","
UK,WN3,"""WN3"","
UK,WN4,"""WN4"","
UK,WN5,"""WN5"","
UK,WN6,"""WN6"","
UK,WN7,"""WN7"","
UK,WN8,"""WN8"","
UK,BN1,"""BN1"","
UK,BN10,"""BN10"","
UK,BN11,"""BN11"","
UK,BN12,"""BN12"","
UK,BN13,"""BN13"","
UK,BN14,"""BN14"","
UK,BN15,"""BN15"","
UK,BN16,"""BN16"","
UK,BN17,"""BN17"","
UK,BN18,"""BN18"","
UK,BN2,"""BN2"","
UK,BN20,"""BN20"","
UK,BN21,"""BN21"","
UK,BN22,"""BN22"","
UK,BN23,"""BN23"","
UK,BN24,"""BN24"","
UK,BN25,"""BN25"","
UK,BN26,"""BN26"","
UK,BN27,"""BN27"","
UK,BN3,"""BN3"","
UK,BN41,"""BN41"","
UK,BN42,"""BN42"","
UK,BN43,"""BN43"","
UK,BN44,"""BN44"","
UK,BN45,"""BN45"","
UK,BN5,"""BN5"","
UK,BN50,"""BN50"","
UK,BN51,"""BN51"","
UK,BN52,"""BN52"","
UK,BN6,"""BN6"","
UK,BN7,"""BN7"","
UK,BN8,"""BN8"","
UK,BN88,"""BN88"","
UK,BN9,"""BN9"","
UK,BN99,"""BN99"","
UK,CT1,"""CT1"","
UK,CT10,"""CT10"","
UK,CT11,"""CT11"","
UK,CT12,"""CT12"","
UK,CT13,"""CT13"","
UK,CT14,"""CT14"","
UK,CT15,"""CT15"","
UK,CT16,"""CT16"","
UK,CT17,"""CT17"","
UK,CT18,"""CT18"","
UK,CT19,"""CT19"","
UK,CT2,"""CT2"","
UK,CT20,"""CT20"","
UK,CT21,"""CT21"","
UK,CT3,"""CT3"","
UK,CT4,"""CT4"","
UK,CT5,"""CT5"","
UK,CT50,"""CT50"","
UK,CT6,"""CT6"","
UK,CT7,"""CT7"","
UK,CT8,"""CT8"","
UK,CT9,"""CT9"","
UK,CM0,"""CM0"","
UK,CM1,"""CM1"","
UK,CM11,"""CM11"","
UK,CM12,"""CM12"","
UK,CM13,"""CM13"","
UK,CM14,"""CM14"","
UK,CM15,"""CM15"","
UK,CM16,"""CM16"","
UK,CM17,"""CM17"","
UK,CM18,"""CM18"","
UK,CM19,"""CM19"","
UK,CM2,"""CM2"","
UK,CM20,"""CM20"","
UK,CM21,"""CM21"","
